Country,Capital,Language,President/Leader,Tribes/Ethnic Groups,Religion,Flag,History Page (10s),Fun Facts,Famous People,Currency,Culture,Population,Population vs. Region,Population vs. Continent,Climate
Burundi,"Gitega (political), Bujumbura (economic)","Kirundi, English, French",Evariste Ndayishimiye,"Hutu, Tutsi, Twa, South Asian","Roman Catholicism, Protestantism",,,,,,,,,,
Comoros,Moroni,"Comorian, French, Arabic, Shikomoro",Azali Assoumani,"Antalote, Cafre, Makoa, Oimatsaha, Sakalava",Islam,,,,,,,,,,
Djibouti,Djibouti,"Arabic, French, Somali, Afar",Ismail Omar Guelleh,"Somali, Afar",Sunni Islam,,,,,,,,,,
Eritrea,Asmara,"Tigrinya, Arabic, English, Tigre",Isaias Afwerki,"Tigrinya, Tigre, Saho","Eritrean Orthodoxy, Roman Catholicism, Evangelical Lutheranism, Sunni Islam",,,,,,,,,,
Ethiopia,Addis Ababa,"Afar, Amharic, Oromo, Somalli, Tigrinya",President: Sahle-Work Zewde                                        Prime Minister: Abiy Ahmed,"Oromo, Amhara, Somali, Tigray","Ethiopian Orthodoxy, Islam, Protestantism",,,,,,,,,,
Kenya,Nairobi,"Swahili, English",William Ruto,"Kikuyu, Luhya, Kalenjin, Luo, Kamba","Christianity, Islam",,,,,,,,,,
Madagascar,Antananarivo,"Malagasy, French ",Andry Rajoelina,"Malayo-Indonesian, Cotiers, French, Indian","Church of Jesus Christ in Madagascar, Malagasy Lutheran Church, Anglican Church, Roman Catholicism",,,,,,,,,,
Malawi,Lilongwe,"English, Chewa, Lambya, Lomwe, Ngoni, Tumbuka ",Lazarus Chakwera,"Chewa, Lomwe, Yao, Ngoni, Tumbuka","Protestantism, Roman Catholicism,  Islam, other Christianity, Islam",,,,,,,,,,
Mauritius,Port Louis,"English, French, Mauritian Creole, Bhojpuri",President: Prithvirajsing Roopun                                                    Prime Minister: Pravind Kumar Jugnauth,"Indo-Mauritian, Creole, Sino-Mauritian, Franco-Mauritian","Hinduism, Roman Catholicism, Islam",,,,,,,,,,
Mozambique,Maputo,"Portuguese, Makhuwa, Sena, Tsonga, Lomwe, Changana",Filipe Nyusi,"Makhuwa, Tsonga, Lomwe, Sena, others","Roman Catholicism, Islam, Zionist Christianity, Evangelicalism, Pentecostalism",,,,,,,,,,
Rwanda,Kigali,"Kinyarwanda, French, English, Swahili",Paul Kagame,"Hutu, Tutsi, Twa","Protestantism, Roman Catholicism",,,,,,,,,,
Seychelles,Victoria,"English, French, Seychellois",Wavel Ramkalawan,"Creole, French, Indian, Chinese, Arab","Roman Catholicism, Protestantism",,,,,,,,,,
Somalia,Mogadishu,"Somali, Arabic",Hassan Sheikh Mohamud,Somali,Sunni Islam,,,,,,,,,,
South Sudan,Juba,"English, Arabic, Dinka, Nuer, Murle",Salva Kiir Mayardit,"Dinka, Nuer, Shilluk, Azande, Bari, Kakwa","Christianity, Folk Religion",,,,,,,,,,
Tanzania,Dodoma,"Swahili, English, Arabic",Samia Suluhu Hassan,Bantu,"Christianity, Islam",,,,,,,,,,
Uganda,Kampala,"English, Swahili, Ganda, Arabic",Yoweri Museveni,"Baganda, Banyankole, Basoga, Bakiga, Iteso","Protestantism, Roman Catholicism,  Islam",,,,,,,,,,
Zambia,Lusaka,"English, Nyanja, Bemba",Hakainde Hichilema,"Bemba, Tonga, Chewa, Lozi, Nsenga, Tumbuka, Ngoni","Protestantism, Roman Catholicism",,,,,,,,,,
Zimbabwe,Harare,"Shona, Ndebele, English, Chibarwe, Kalanga, Koisan, Nambya, Ndau",Emerson Mnangagwa,"Shona, Ndebele","Apostolic Sect, Pentecostalism, Protestantism",,,,,,,,,,
