Country,Capital,Language,President/Leader,Tribes/Ethnic Groups,Religion,History Page (10s),Fun Facts,Famous People,Currency,Culture,Population,Population vs. Region,Population vs. Continent,Climate
Benin,Porto-Novo,"French, Fon, Yom, Yoruba",Patrice Talon,"Fon, Adja, Yoruba, Bariba","Islam, Roman Catholicism, Protestantism, Vodoun",,,,,,,,,
Burkina Faso,Ouagadougou,"French, Mossi, Bissa, Dyula, Fula",Captain Ibrahim Traore,"Mossi, Fulani, Gurunsi, Bissa","Islam, Roman Catholicism",,,,,,,,,
Cape Verde,Praia,"Portuguese, Cape Verdean Creole",Jose Maria Neves,"Creole, African",Roman Catholicism,,,,,,,,,
Gambia,Banjul,"English, Mandinka, Wolof, Fula",Adama Barrow,"Mandinka, Fulani, Wolof, Jola",Islam,,,,,,,,,
Ghana,Accra,"English, Dagaare, Dagbanli, Dangme",Nana Akufo-Addo,"Akan, Mole-Dagbani, Ewe","Christianity, Islam",,,,,,,,,
Guinea,Conakry,"French, Arabic, English, Susu",Lieutenant Colonel Mamady Doumbouya,"Fulani, Malinke, Susu","Islam, Christianity",,,,,,,,,
Guinea Bissau,Bissau,"Portuguese, Guinea-Bissau Creole, Fula, Mandinka",Umaro Sissoco Embalo,"Balanta, Fulani, Manjaco, Mandinga","Islam, Folk Religion, Christianity",,,,,,,,,
Ivory Coast,"Yamoussoukro (political), Abidjan (economic)","French, Dioula, Bete, Jula, Baule",Alassane Ouattara,"Akan, Gur, Northern Mande","Islam, Roman Catholicism, Evangelism",,,,,,,,,
Liberia,Monrovia,"English, 27 other indigenous languages",Joseph Boakai,"Kpelle, Bassa, Grebo, Gio, Mano","Christianity, Islam",,,,,,,,,
Mali,Bamako,"Bambara, French, Dogon, Fulani",Colonel Assimi Goita,"Bamabara, Fulani, Soninke",Islam,,,,,,,,,
Mauritania,Nouakchott,"Arabic, Pular, Soninke, Wolof, French",Mohamed Ould Ghazouani,"Black Moors, White Moors, Sub-Saharan Mauritanians",Islam,,,,,,,,,
Niger,Niamey,"French, Hausa, Arabic, Fulani, Buduma, Kanuri",Mohamed Bazoum (deposed),"Hausa, Zarma, Tuareg",Islam,,,,,,,,,
Nigeria,Abuja,"English, Hausa, Yoruba, Igbo",Bola Tinubu,"Hausa, Yoruba, Igbo","Islam, Christianity",,,,,,,,,
Senegal,Dakar,"French, Wolof, Pulaar, Jola","Bassirou, Diomaye, Faye","Wolof, Pulaar, Sereer",Islam,,,,,,,,,
Sierra Leone,Freetown,"English, Mende, Temne, Krio",Julius Maada Bio,"Temne, Mende, Limba","Islam, Christianity",,,,,,,,,
Togo,Lome,"French, Ewe, Mina, and Kabiye",Faure Gnassingbe Eyadema,"Mina, Kabiye, Akan","Christianity, Folk Religion, Islam",,,,,,,,,
